,Molecule,OF Molecule Name,Geometry,Charge,Multiplicity,Basis Set,Number of Qubits,Method,Energy,Orbital Energies,Time
37,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.06006006006006006]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.033503999999999756
38,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.06006006006006006]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.03555200000000003
39,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.06006006006006006]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03281200000000073
40,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.07007007007007007]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.03385800000000039
41,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.07007007007007007]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.032096000000000124
42,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.07007007007007007]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03591199999999972
43,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.07007007007007007]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.034900000000000375
44,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.07007007007007007]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03530799999999967
45,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.08008008008008008]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.034735999999999656
46,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.08008008008008008]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.0329480000000002
47,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.08008008008008008]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03650200000000048
48,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.08008008008008008]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.03509399999999996
49,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.08008008008008008]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.033198000000000505
50,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.09009009009009009]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.03268000000000004
51,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.09009009009009009]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.033040000000000624
52,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.09009009009009009]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03243799999999997
53,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.09009009009009009]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.03230799999999956
54,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.09009009009009009]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03218800000000055
55,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.10010010010010009]]]",0,1,sto-3g,4.0,hf,2.7106650054496555,"[-0.9019675614557743, 1.732957795550142]",0.032703999999999844
56,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.10010010010010009]]]",0,1,sto-3g,4.0,mp2,2.706054170924292,"[-0.9019675614557743, 1.732957795550142]",0.032746000000000386
57,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.10010010010010009]]]",0,1,sto-3g,4.0,cisd,2.7047378725686713,"[-0.9019675614557743, 1.732957795550142]",0.03441200000000055
58,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.10010010010010009]]]",0,1,sto-3g,4.0,ccsd,2.704737872572415,"[-0.9019675614557743, 1.732957795550142]",0.03807999999999989
59,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.10010010010010009]]]",0,1,sto-3g,4.0,fci,2.7047378725686713,"[-0.9019675614557743, 1.732957795550142]",0.0343119999999999
60,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.11011011011011011]]]",0,1,sto-3g,4.0,hf,2.2373115274606588,"[-0.8986322152818168, 1.7204434232408343]",0.03321400000000008
61,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.11011011011011011]]]",0,1,sto-3g,4.0,mp2,2.2326647507724,"[-0.8986322152818168, 1.7204434232408343]",0.033615999999999424
62,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.11011011011011011]]]",0,1,sto-3g,4.0,cisd,2.2313307598082934,"[-0.8986322152818168, 1.7204434232408343]",0.04270199999999935
63,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.11011011011011011]]]",0,1,sto-3g,4.0,ccsd,2.2313307598122925,"[-0.8986322152818168, 1.7204434232408343]",0.03253600000000034
64,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.11011011011011011]]]",0,1,sto-3g,4.0,fci,2.231330759808293,"[-0.8986322152818168, 1.7204434232408343]",0.03247199999999939
65,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.12012012012012012]]]",0,1,sto-3g,4.0,hf,1.8446255099374054,"[-0.8950376802473777, 1.706974143873456]",0.03268200000000032
66,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.12012012012012012]]]",0,1,sto-3g,4.0,mp2,1.839939426325754,"[-0.8950376802473777, 1.706974143873456]",0.040014000000000216
67,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.12012012012012012]]]",0,1,sto-3g,4.0,cisd,1.8385859770850455,"[-0.8950376802473777, 1.706974143873456]",0.03339200000000009
68,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.12012012012012012]]]",0,1,sto-3g,4.0,ccsd,1.8385859770893416,"[-0.8950376802473777, 1.706974143873456]",0.0333559999999995
69,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.12012012012012012]]]",0,1,sto-3g,4.0,fci,1.8385859770850455,"[-0.8950376802473777, 1.706974143873456]",0.03265000000000029
70,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.13013013013013014]]]",0,1,sto-3g,4.0,hf,1.51409373161466,"[-0.8911980884052206, 1.6926070489287373]",0.03570399999999996
71,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.13013013013013014]]]",0,1,sto-3g,4.0,mp2,1.5093649915642784,"[-0.8911980884052206, 1.6926070489287373]",0.03639400000000048
72,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.13013013013013014]]]",0,1,sto-3g,4.0,cisd,1.5079902983055486,"[-0.8911980884052206, 1.6926070489287373]",0.033666000000000196
73,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.13013013013013014]]]",0,1,sto-3g,4.0,ccsd,1.507990298310186,"[-0.8911980884052206, 1.6926070489287373]",0.03238200000000013
74,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.13013013013013014]]]",0,1,sto-3g,4.0,fci,1.5079902983055478,"[-0.8911980884052206, 1.6926070489287373]",0.03330000000000055
75,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.14014014014014015]]]",0,1,sto-3g,4.0,hf,1.2324830866192662,"[-0.8871280875850002, 1.6774012457094991]",0.032721999999999696
76,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.14014014014014015]]]",0,1,sto-3g,4.0,mp2,1.2277083572025624,"[-0.8871280875850002, 1.6774012457094991]",0.03375400000000006
77,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.14014014014014015]]]",0,1,sto-3g,4.0,cisd,1.2263106127619756,"[-0.8871280875850002, 1.6774012457094991]",0.03347000000000122
78,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.14014014014014015]]]",0,1,sto-3g,4.0,ccsd,1.2263106127670096,"[-0.8871280875850002, 1.6774012457094991]",0.03265799999999963
79,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.14014014014014015]]]",0,1,sto-3g,4.0,fci,1.2263106127619756,"[-0.8871280875850002, 1.6774012457094991]",0.033182000000000045
80,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.15015015015015015]]]",0,1,sto-3g,4.0,hf,0.9900804647486103,"[-0.8828427029923522, 1.6614172923774346]",0.032735999999999876
81,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.15015015015015015]]]",0,1,sto-3g,4.0,mp2,0.9852564308681476,"[-0.8828427029923522, 1.6614172923774346]",0.032849999999999824
82,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.15015015015015015]]]",0,1,sto-3g,4.0,cisd,0.9838338054412112,"[-0.8828427029923522, 1.6614172923774346]",0.03322799999999937
83,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.15015015015015015]]]",0,1,sto-3g,4.0,ccsd,0.9838338054467022,"[-0.8828427029923522, 1.6614172923774346]",0.032254000000000005
84,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.15015015015015015]]]",0,1,sto-3g,4.0,fci,0.9838338054412112,"[-0.8828427029923522, 1.6614172923774346]",0.03263399999999983
85,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.16016016016016016]]]",0,1,sto-3g,4.0,hf,0.7795927770761528,"[-0.8783572011628595, 1.6447166454524433]",0.03215400000000024
86,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.16016016016016016]]]",0,1,sto-3g,4.0,mp2,0.7747161426050662,"[-0.8783572011628595, 1.6447166454524433]",0.033366000000000895
87,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.16016016016016016]]]",0,1,sto-3g,4.0,cisd,0.7732667826400186,"[-0.8783572011628595, 1.6447166454524433]",0.03571400000000047
88,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.16016016016016016]]]",0,1,sto-3g,4.0,ccsd,0.7732667826460348,"[-0.8783572011628595, 1.6447166454524433]",0.03373400000000082
89,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.16016016016016016]]]",0,1,sto-3g,4.0,fci,0.7732667826400186,"[-0.8783572011628595, 1.6447166454524433]",0.03230600000000017
90,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.17017017017017017]]]",0,1,sto-3g,4.0,hf,0.5954352965898562,"[-0.873686958193919, 1.6273611278447033]",0.03282000000000096
91,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.17017017017017017]]]",0,1,sto-3g,4.0,mp2,0.5905027854009021,"[-0.873686958193919, 1.6273611278447033]",0.03353800000000007
92,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.17017017017017017]]]",0,1,sto-3g,4.0,cisd,0.5890248125895474,"[-0.873686958193919, 1.6273611278447033]",0.03231000000000073
93,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.17017017017017017]]]",0,1,sto-3g,4.0,ccsd,0.5890248125961701,"[-0.873686958193919, 1.6273611278447033]",0.03249600000000008
94,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.17017017017017017]]]",0,1,sto-3g,4.0,fci,0.5890248125895474,"[-0.873686958193919, 1.6273611278447033]",0.03321799999999975
95,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.18018018018018017]]]",0,1,sto-3g,4.0,hf,0.43325729568608784,"[-0.8688473339911149, 1.6094124246189785]",0.03416999999999959
96,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.18018018018018017]]]",0,1,sto-3g,4.0,mp2,0.42826565255616666,"[-0.8688473339911149, 1.6094124246189785]",0.032569999999999766
97,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.18018018018018017]]]",0,1,sto-3g,4.0,cisd,0.4267571629096216,"[-0.8688473339911149, 1.6094124246189785]",0.03297400000000117
98,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.18018018018018017]]]",0,1,sto-3g,4.0,ccsd,0.4267571629169427,"[-0.8688473339911149, 1.6094124246189785]",0.03941999999999979
99,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.18018018018018017]]]",0,1,sto-3g,4.0,fci,0.4267571629096216,"[-0.8688473339911149, 1.6094124246189785]",0.03824800000000117
100,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.19019019019019018]]]",0,1,sto-3g,4.0,hf,0.28961754789790883,"[-0.8638535540519823, 1.5909316126979438]",0.03695599999999999
101,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.19019019019019018]]]",0,1,sto-3g,4.0,mp2,0.28456353927346467,"[-0.8638535540519823, 1.5909316126979438]",0.03305400000000169
102,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.19019019019019018]]]",0,1,sto-3g,4.0,cisd,0.28302260227066034,"[-0.8638535540519823, 1.5909316126979438]",0.03300400000000003
103,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.19019019019019018]]]",0,1,sto-3g,4.0,ccsd,0.2830226022787852,"[-0.8638535540519823, 1.5909316126979438]",0.034591999999999956
104,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.19019019019019018]]]",0,1,sto-3g,4.0,fci,0.28302260227066034,"[-0.8638535540519823, 1.5909316126979438]",0.034874000000000294
105,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.20020020020020018]]]",0,1,sto-3g,4.0,hf,0.16175723352505222,"[-0.8587206000760781, 1.5719787296347767]",0.03462599999999938
106,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.20020020020020018]]]",0,1,sto-3g,4.0,mp2,0.1566376481336027,"[-0.8587206000760781, 1.5719787296347767]",0.03236000000000061
107,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.20020020020020018]]]",0,1,sto-3g,4.0,cisd,0.15506230593013504,"[-0.8587206000760781, 1.5719787296347767]",0.038622000000000156
108,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.20020020020020018]]]",0,1,sto-3g,4.0,ccsd,0.155062305939186,"[-0.8587206000760781, 1.5719787296347767]",0.03510600000000075
109,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.20020020020020018]]]",0,1,sto-3g,4.0,fci,0.15506230593013504,"[-0.8587206000760781, 1.5719787296347767]",0.03535400000000166
110,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.21021021021021022]]]",0,1,sto-3g,4.0,hf,0.0474377732232073,"[-0.85346311044404, 1.5526123854542384]",0.03386599999999973
